nm, %T
1200.000000, 95.481592
1199.000000, 95.464992
1198.000000, 95.483206
1197.000000, 95.471385
1196.000000, 95.438478
1195.000000, 95.486699
1194.000000, 95.462027
1193.000000, 95.498672
1192.000000, 95.499468
1191.000000, 95.508131
1190.000000, 95.518526
1189.000000, 95.484399
1188.000000, 95.481946
1187.000000, 95.549158
1186.000000, 95.491886
1185.000000, 95.528715
1184.000000, 95.489730
1183.000000, 95.471283
1182.000000, 95.554362
1181.000000, 95.489597
1180.000000, 95.466632
1179.000000, 95.493179
1178.000000, 95.558056
1177.000000, 95.549724
1176.000000, 95.545079
1175.000000, 95.542231
1174.000000, 95.505052
1173.000000, 95.529367
1172.000000, 95.485134
1171.000000, 95.546725
1170.000000, 95.536492
1169.000000, 95.564702
1168.000000, 95.563701
1167.000000, 95.542129
1166.000000, 95.527658
1165.000000, 95.596437
1164.000000, 95.515744
1163.000000, 95.564354
1162.000000, 95.583933
1161.000000, 95.550555
1160.000000, 95.521661
1159.000000, 95.567393
1158.000000, 95.538423
1157.000000, 95.528959
1156.000000, 95.566478
1155.000000, 95.562917
1154.000000, 95.547935
1153.000000, 95.572158
1152.000000, 95.592450
1151.000000, 95.593083
1150.000000, 95.574040
1149.000000, 95.561844
1148.000000, 95.563735
1147.000000, 95.545209
1146.000000, 95.542193
1145.000000, 95.542754
1144.000000, 95.542819
1143.000000, 95.568390
1142.000000, 95.588668
1141.000000, 95.547717
1140.000000, 95.583722
1139.000000, 95.585058
1138.000000, 95.631007
1137.000000, 95.625751
1136.000000, 95.626768
1135.000000, 95.647924
1134.000000, 95.613567
1133.000000, 95.630638
1132.000000, 95.614395
1131.000000, 95.612153
1130.000000, 95.599877
1129.000000, 95.579481
1128.000000, 95.619164
1127.000000, 95.586810
1126.000000, 95.619744
1125.000000, 95.623750
1124.000000, 95.611054
1123.000000, 95.607110
1122.000000, 95.633517
1121.000000, 95.619824
1120.000000, 95.616227
1119.000000, 95.621258
1118.000000, 95.606654
1117.000000, 95.595471
1116.000000, 95.566810
1115.000000, 95.638392
1114.000000, 95.648182
1113.000000, 95.609519
1112.000000, 95.599236
1111.000000, 95.633799
1110.000000, 95.690969
1109.000000, 95.672834
1108.000000, 95.625044
1107.000000, 95.644156
1106.000000, 95.621180
1105.000000, 95.618492
1104.000000, 95.641137
1103.000000, 95.643854
1102.000000, 95.592948
1101.000000, 95.599512
1100.000000, 95.670756
1099.000000, 95.658285
1098.000000, 95.608830
1097.000000, 95.623413
1096.000000, 95.631177
1095.000000, 95.664709
1094.000000, 95.665053
1093.000000, 95.677486
1092.000000, 95.676516
1091.000000, 95.622953
1090.000000, 95.632037
1089.000000, 95.648083
1088.000000, 95.611886
1087.000000, 95.632261
1086.000000, 95.646594
1085.000000, 95.643109
1084.000000, 95.621094
1083.000000, 95.599072
1082.000000, 95.626621
1081.000000, 95.633197
1080.000000, 95.621010
1079.000000, 95.622989
1078.000000, 95.657517
1077.000000, 95.678857
1076.000000, 95.649042
1075.000000, 95.610963
1074.000000, 95.659591
1073.000000, 95.666181
1072.000000, 95.638696
1071.000000, 95.641400
1070.000000, 95.632379
1069.000000, 95.636931
1068.000000, 95.649399
1067.000000, 95.642745
1066.000000, 95.644022
1065.000000, 95.648441
1064.000000, 95.646819
1063.000000, 95.667197
1062.000000, 95.652371
1061.000000, 95.640284
1060.000000, 95.659638
1059.000000, 95.643101
1058.000000, 95.584485
1057.000000, 95.606461
1056.000000, 95.635193
1055.000000, 95.631798
1054.000000, 95.673972
1053.000000, 95.657174
1052.000000, 95.609757
1051.000000, 95.620871
1050.000000, 95.666167
1049.000000, 95.654127
1048.000000, 95.614884
1047.000000, 95.646631
1046.000000, 95.661299
1045.000000, 95.655521
1044.000000, 95.650722
1043.000000, 95.648202
1042.000000, 95.630479
1041.000000, 95.631758
1040.000000, 95.668963
1039.000000, 95.600910
1038.000000, 95.603323
1037.000000, 95.618947
1036.000000, 95.624530
1035.000000, 95.637043
1034.000000, 95.625495
1033.000000, 95.594663
1032.000000, 95.601816
1031.000000, 95.598471
1030.000000, 95.600795
1029.000000, 95.588504
1028.000000, 95.585667
1027.000000, 95.587804
1026.000000, 95.651746
1025.000000, 95.631683
1024.000000, 95.599513
1023.000000, 95.560599
1022.000000, 95.585271
1021.000000, 95.577770
1020.000000, 95.571716
1019.000000, 95.594368
1018.000000, 95.591835
1017.000000, 95.602851
1016.000000, 95.604519
1015.000000, 95.555257
1014.000000, 95.559951
1013.000000, 95.570728
1012.000000, 95.563236
1011.000000, 95.542022
1010.000000, 95.548587
1009.000000, 95.585080
1008.000000, 95.547951
1007.000000, 95.543481
1006.000000, 95.592686
1005.000000, 95.600810
1004.000000, 95.593145
1003.000000, 95.570815
1002.000000, 95.561960
1001.000000, 95.569336
1000.000000, 95.565039
999.000000, 95.554566
998.000000, 95.549988
997.000000, 95.549546
996.000000, 95.553401
995.000000, 95.553138
994.000000, 95.507416
993.000000, 95.491469
992.000000, 95.539354
991.000000, 95.530988
990.000000, 95.505977
989.000000, 95.513782
988.000000, 95.540386
987.000000, 95.539372
986.000000, 95.503400
985.000000, 95.530899
984.000000, 95.492746
983.000000, 95.480392
982.000000, 95.498697
981.000000, 95.464629
980.000000, 95.556300
979.000000, 95.514632
978.000000, 95.462373
977.000000, 95.478059
976.000000, 95.445735
975.000000, 95.485784
974.000000, 95.477125
973.000000, 95.492069
972.000000, 95.473782
971.000000, 95.470059
970.000000, 95.475561
969.000000, 95.497407
968.000000, 95.413908
967.000000, 95.430140
966.000000, 95.398867
965.000000, 95.382295
964.000000, 95.502817
963.000000, 95.432224
962.000000, 95.414159
961.000000, 95.416289
960.000000, 95.436512
959.000000, 95.440076
958.000000, 95.433644
957.000000, 95.429223
956.000000, 95.399757
955.000000, 95.392059
954.000000, 95.350862
953.000000, 95.398388
952.000000, 95.384471
951.000000, 95.387561
950.000000, 95.355312
949.000000, 95.384402
948.000000, 95.447968
947.000000, 95.347770
946.000000, 95.338014
945.000000, 95.369537
944.000000, 95.339543
943.000000, 95.408172
942.000000, 95.317079
