nm, %T
1200.000000, 94.779135
1199.000000, 94.798577
1198.000000, 94.790828
1197.000000, 94.796193
1196.000000, 94.792508
1195.000000, 94.808209
1194.000000, 94.825930
1193.000000, 94.841338
1192.000000, 94.834254
1191.000000, 94.857618
1190.000000, 94.852909
1189.000000, 94.856950
1188.000000, 94.859209
1187.000000, 94.870280
1186.000000, 94.880236
1185.000000, 94.881003
1184.000000, 94.879468
1183.000000, 94.874452
1182.000000, 94.880978
1181.000000, 94.881891
1180.000000, 94.856857
1179.000000, 94.853660
1178.000000, 94.846143
1177.000000, 94.856841
1176.000000, 94.844156
1175.000000, 94.851216
1174.000000, 94.865425
1173.000000, 94.871535
1172.000000, 94.887072
1171.000000, 94.900716
1170.000000, 94.904938
1169.000000, 94.908577
1168.000000, 94.911470
1167.000000, 94.913140
1166.000000, 94.902691
1165.000000, 94.903226
1164.000000, 94.887238
1163.000000, 94.887003
1162.000000, 94.896396
1161.000000, 94.912801
1160.000000, 94.926689
1159.000000, 94.939362
1158.000000, 94.942883
1157.000000, 94.934630
1156.000000, 94.921646
1155.000000, 94.923791
1154.000000, 94.908239
1153.000000, 94.912416
1152.000000, 94.926700
1151.000000, 94.936830
1150.000000, 94.954532
1149.000000, 94.960089
1148.000000, 94.949886
1147.000000, 94.957369
1146.000000, 94.932500
1145.000000, 94.923474
1144.000000, 94.922346
1143.000000, 94.940546
1142.000000, 94.950450
1141.000000, 94.951378
1140.000000, 94.950219
1139.000000, 94.957011
1138.000000, 94.955547
1137.000000, 94.946185
1136.000000, 94.953311
1135.000000, 94.964345
1134.000000, 94.967114
1133.000000, 94.959275
1132.000000, 94.959296
1131.000000, 94.969072
1130.000000, 94.980604
1129.000000, 94.980429
1128.000000, 94.983141
1127.000000, 94.985241
1126.000000, 94.983402
1125.000000, 94.983515
1124.000000, 94.982812
1123.000000, 94.982406
1122.000000, 94.979765
1121.000000, 94.992707
1120.000000, 94.986465
1119.000000, 94.980569
1118.000000, 94.984223
1117.000000, 94.991169
1116.000000, 94.989197
1115.000000, 94.993393
1114.000000, 94.988933
1113.000000, 94.979399
1112.000000, 94.979843
1111.000000, 94.982154
1110.000000, 94.987720
1109.000000, 94.994911
1108.000000, 94.995921
1107.000000, 94.993050
1106.000000, 94.990358
1105.000000, 94.987777
1104.000000, 94.987644
1103.000000, 94.990120
1102.000000, 94.997947
1101.000000, 95.004798
1100.000000, 95.005028
1099.000000, 95.008907
1098.000000, 95.000293
1097.000000, 95.004003
1096.000000, 95.011725
1095.000000, 95.010028
1094.000000, 95.008562
1093.000000, 95.003036
1092.000000, 95.000183
1091.000000, 95.001057
1090.000000, 95.004832
1089.000000, 94.999505
1088.000000, 94.993517
1087.000000, 94.997172
1086.000000, 94.995770
1085.000000, 94.994978
1084.000000, 95.004930
1083.000000, 95.015962
1082.000000, 95.010522
1081.000000, 95.009873
1080.000000, 95.016140
1079.000000, 95.010519
1078.000000, 95.002111
1077.000000, 94.998321
1076.000000, 95.001262
1075.000000, 95.005843
1074.000000, 95.006552
1073.000000, 95.003300
1072.000000, 95.006096
1071.000000, 94.997818
1070.000000, 94.994491
1069.000000, 95.001064
1068.000000, 95.008112
1067.000000, 95.016651
1066.000000, 95.017548
1065.000000, 94.998845
1064.000000, 94.987418
1063.000000, 94.990103
1062.000000, 94.987549
1061.000000, 94.989256
1060.000000, 94.992223
1059.000000, 94.999923
1058.000000, 94.998251
1057.000000, 94.996694
1056.000000, 94.989920
1055.000000, 94.983100
1054.000000, 94.998094
1053.000000, 95.004670
1052.000000, 94.992768
1051.000000, 94.991969
1050.000000, 94.994143
1049.000000, 94.980948
1048.000000, 94.978444
1047.000000, 94.982261
1046.000000, 94.975986
1045.000000, 94.980262
1044.000000, 94.979090
1043.000000, 94.975152
1042.000000, 94.978118
1041.000000, 94.974004
1040.000000, 94.958373
1039.000000, 94.961682
1038.000000, 94.964620
1037.000000, 94.984226
1036.000000, 94.983436
1035.000000, 94.984222
1034.000000, 94.989099
1033.000000, 94.985141
1032.000000, 94.992152
1031.000000, 94.992473
1030.000000, 94.963001
1029.000000, 94.981381
1028.000000, 94.980234
1027.000000, 94.962354
1026.000000, 94.966922
1025.000000, 94.968940
1024.000000, 94.954854
1023.000000, 94.957064
1022.000000, 94.970005
1021.000000, 94.957589
1020.000000, 94.950760
1019.000000, 94.955353
1018.000000, 94.951053
1017.000000, 94.959782
1016.000000, 94.942026
1015.000000, 94.934685
1014.000000, 94.941784
1013.000000, 94.931558
1012.000000, 94.941082
1011.000000, 94.930038
1010.000000, 94.957302
1009.000000, 94.929657
1008.000000, 94.920865
1007.000000, 94.919693
1006.000000, 94.930589
1005.000000, 94.908798
1004.000000, 94.909260
1003.000000, 94.912872
1002.000000, 94.913514
1001.000000, 94.924036
1000.000000, 94.919279
999.000000, 94.910755
998.000000, 94.911078
997.000000, 94.910837
996.000000, 94.893659
995.000000, 94.890687
994.000000, 94.891138
993.000000, 94.881335
992.000000, 94.885841
991.000000, 94.871469
990.000000, 94.862493
989.000000, 94.885176
988.000000, 94.881343
987.000000, 94.863223
986.000000, 94.866821
985.000000, 94.868608
984.000000, 94.850738
983.000000, 94.844567
982.000000, 94.841957
981.000000, 94.843596
980.000000, 94.831275
979.000000, 94.836879
978.000000, 94.846231
977.000000, 94.815665
976.000000, 94.839619
975.000000, 94.805890
974.000000, 94.815135
973.000000, 94.810500
972.000000, 94.830933
971.000000, 94.796799
970.000000, 94.811708
969.000000, 94.805824
968.000000, 94.794601
967.000000, 94.796858
966.000000, 94.784339
965.000000, 94.780434
964.000000, 94.778232
963.000000, 94.795157
962.000000, 94.786569
961.000000, 94.745739
960.000000, 94.763505
959.000000, 94.748874
958.000000, 94.755996
957.000000, 94.777640
956.000000, 94.752209
955.000000, 94.738785
954.000000, 94.738870
953.000000, 94.745343
952.000000, 94.724497
951.000000, 94.751404
950.000000, 94.717198
949.000000, 94.707513
948.000000, 94.702963
947.000000, 94.724551
946.000000, 94.710130
945.000000, 94.687987
944.000000, 94.704929
943.000000, 94.696102
942.000000, 94.689588
941.000000, 94.682221
940.000000, 94.666937
939.000000, 94.668473
938.000000, 94.656662
937.000000, 94.662359
936.000000, 94.670721
935.000000, 94.642039
934.000000, 94.652352
933.000000, 94.647232
932.000000, 94.632564
931.000000, 94.620224
930.000000, 94.630070
929.000000, 94.649430
928.000000, 94.626471
927.000000, 94.613972
926.000000, 94.621714
925.000000, 94.604140
924.000000, 94.605502
923.000000, 94.626842
922.000000, 94.608588
921.000000, 94.587415
920.000000, 94.583997
919.000000, 94.571490
918.000000, 94.584455
917.000000, 94.585154
916.000000, 94.568841
915.000000, 94.586976
914.000000, 94.559246
913.000000, 94.530713
912.000000, 94.552557
911.000000, 94.559173
910.000000, 94.533374
909.000000, 94.542065
908.000000, 94.538381
907.000000, 94.511031
906.000000, 94.523410
905.000000, 94.532578
904.000000, 94.508981
903.000000, 94.491093
902.000000, 94.501370
901.000000, 94.498544
