20660	3.44	0
17710	3.45	0
15500	3.48	0
13780	3.5	0
12400	3.54	0
11270	3.57	0
10330	3.61	0
9537	3.68	0
8856	3.77	0.0401
8266	3.86	0.0812
7749	3.93	0.136
7293	4.01	0.199
6888	4.09	0.271
6525	4.17	0.363
6199	4.23	0.461
5904	4.277	0.557
5636	4.36	0.69
5391	4.42	0.827
5166	4.46	0.969
4959	4.482	1.119
4769	4.49	1.28
4592	4.487	1.456
4428	4.47	1.64
4275	4.437	1.83
4133	4.38	2.02
3999	4.286	2.206
3875	4.17	2.38
3757	4.044	2.529
3647	3.9	2.66
3542	3.729	2.78
3444	3.55	2.88
3351	3.379	2.95
3263	3.21	3
3179	3.038	3.039
3100	2.87	3.06
3024	2.71	3.057
2952	2.56	3.04
2883	2.425	3.017
2818	2.3	2.99
2755	2.182	2.962
2695	2.07	2.93
2638	1.961	2.892
2583	1.86	2.85
2530	1.771	2.806
2480	1.69	2.76
2431	1.613	2.712
2384	1.54	2.662
2339	1.472	2.611
2296	1.409	2.561
2254	1.35	2.51
2214	1.295	2.462
2175	1.243	2.416
2138	1.195	2.37
2101	1.151	2.324
2066	1.110999	2.277999
