2.4533, 11167.3731
2.4592, 11421.6938
2.4651, 11681.8064
2.471, 11679.6125
2.4769, 11945.5987
2.4828, 12217.6425
2.4887, 12495.8816
2.4946, 12493.5348
2.5005, 12778.057
2.5064, 12775.6572
2.5123, 13066.6042
2.5181, 13064.1503
2.524, 13361.6674
2.5299, 13665.9601
2.5358, 13663.3935
2.5417, 13974.5575
2.5476, 14292.8079
2.5535, 14290.1236
2.5594, 14615.5605
2.5653, 14948.4088
2.5712, 15288.8372
2.5771, 15637.0183
2.583, 15634.0816
2.5889, 15990.1252
2.5918, 16355.8131
