       2792	2.833	5.257
            2805	2.974	5.304
            2818	3.120	5.344
            2831	3.277	5.381
            2844	3.444	5.414
            2857	3.634	5.435
            2870	3.849	5.439
            2883	4.086	5.395
            2897	4.318	5.301
            2910	4.525	5.158
            2924	4.686	4.989
            2938	4.805	4.812
            2952	4.888	4.639
            2966	4.941	4.480
            2980	4.977	4.335
            2995	4.999	4.204
            3009	5.012	4.086
            3024	5.020	3.979
            3039	5.021	3.885
            3054	5.020	3.798
            3069	5.018	3.720
            3084	5.015	3.650
            3100	5.010	3.587
            3115	5.009	3.529
            3131	5.010	3.477
            3147	5.009	3.429
            3163	5.012	3.386
            3179	5.016	3.346
            3195	5.021	3.310
            3212	5.029	3.275
            3229	5.040	3.242
            3246	5.052	3.211
            3263	5.065	3.182
            3280	5.079	3.154
            3297	5.095	3.128
            3315	5.115	3.103
            3333	5.134	3.079
            3351	5.156	3.058
            3369	5.179	3.039
            3388	5.204	3.021
            3406	5.231	3.007
            3425	5.261	2.995
            3444	5.296	2.987
            3463	5.336	2.983
            3483	5.383	2.984
            3502	5.442	2.989
            3522	5.515	2.999
            3542	5.610	3.014
            3563	5.733	3.026
            3583	5.894	3.023
            3604	6.089	2.982
            3625	6.308	2.881
            3647	6.522	2.705
            3668	6.695	2.456
            3690	6.796	2.169
            3712	6.829	1.870
            3734	6.799	1.577
            3757	6.709	1.321
            3780	6.585	1.110
            3803	6.452	0.945
            3837	6.316	0.815
            3850	6.185	0.714
            3875	6.062	0.630
            3899	5.948	0.561
            3924	5.842	0.505
            3949	5.744	0.456
            3974	5.654	0.416
            4000	5.570	0.387
            4025	5.493	0.355
            4052	5.420	0.329
            4078	5.349	0.313
            4105	5.284	0.291
            4133	5.222	0.269
            4161	5.164	0.255
            4189	5.109	0.244
            4217	5.058	0.228
            4246	5.009	0.211
            4275	4.961	0.203
            4305	4.916	0.194
            4335	4.872	0.185
            4366	4.831	0.185
            4397	4.791	0.170
            4428	4.753	0.163
            4460	4.718	0.149
            4492	4.682	0.149
            4525	4.648	0.133
            4558	4.615	0.131
            4592	4.583	0.130
            4626	4.553	0.131
            4661	4.522	0.134
            4696	4.495	0.120
            4732	4.466	0.120
            4769	4.442	0.090
            4806	4.416	0.094
            4843	4.391	0.083
            4881	4.367	0.079
            4920	4.343	0.077
            4959	4.320	0.073
            4999	4.298	0.073
            5040	4.277	0.066
            5081	4.255	0.072
            5123	4.235	0.060
            5166	4.215	0.060
            5209	4.196	0.056
            5254	4.177	0.053
            5299	4.159	0.043
            5344	4.140	0.045
            5391	4.123	0.048
            5438	4.106	0.044
            5486	4.089	0.044
            5535	4.073	0.032
            5585	4.057	0.038
            5636    4.042	0.032
            5687	4.026	0.034
            5740	4.0112	0.030
            5794	3.997	0.027
            5848	3.983	0.030
            5904	3.969	0.030
            5961	3.956	0.027
            6019	3.943	0.025
            6078	3.931	0.025
            6138	3.918	0.024
            6199	3.906	0.022
            6262	3.893	0.022
            6326	3.882	0.019
            6391	3.870	0.018
            6458	3.858	0.017
            6526	3.847	0.016
            6595	3.837	0.016
            6666	3.826	0.015
            6738	3.815	0.014
            6812	3.805	0.013
            6888    3.796	0.013
            6965	3.787	0.013	
            7045	3.778	0.012
            7126	3.768	0.011
            7208	3.761	0.011
            7293	3.752	0.010
            7380	3.745	0.010
            7469	3.736	0.009
            7560	3.728	0.009
            7653	3.721	0.008
            7749	3.714	0.008
            7847	3.714	.008
            7948	3.697	.007
            8051	3.688	0.006
            8157	3.681	0.006
            8266	3.673	0.005
            8856    3.673	0.005
            9537    3.673	2.26e-3
            9686    3.673	0.00064
            9840    3.673	0.00051
            9999    3.673	0.0004
           10160    3.673	0.00028
           10330    3.673	0.00018
           10510    3.673	0.00012    
           10690    3.673	0.000067    
           10880    3.673	0.000042    
           11070    3.673	0.000025
           11200    3.5361	1.525e-5
           11270    3.5361	0.000013
           11440    3.5295	7.171e-6
           11480    3.5295	0.0000058
           11700    3.5295	0.0000015
           12000    3.5193	0.0000015
           13720    3.5007	0.0000015
           14000    3.4876	0.0000015
           15320    3.4784  0.0000015
           16000    3.4710	0.0000015
           16960    3.4644	0.0000015
           18000    3.4578	0.0000015
           20000    3.4490	0.0000015
           24373    3.4434  0.0000015
           25000    3.4424  0.0000015
           27144    3.4393  0.0000015
           30000    3.4361  0.0000015
           33033.3  3.4335  0.0000015
           34188    3.4327  0.0000015
           35000    3.4321  0.0000015
           38000    3.4321  0.0000015
           40000    3.4294  1.3e-8
           50000    3.4261  1.99e-7
