   2.0660000e+03	   1.1250000e+00	   1.2700000e+00	
   2.1380000e+03	   1.1730000e+00	   1.2900000e+00	
   2.2140000e+03	   1.2080000e+00	   1.3000000e+00	
   2.2960000e+03	   1.2380000e+00	   1.3100000e+00	
   2.3840000e+03	   1.2650000e+00	   1.3300000e+00	
   2.4800000e+03	   1.2980000e+00	   1.3500000e+00	
   2.5300000e+03	   1.3200000e+00	   1.3500000e+00	
   2.5830000e+03	   1.3430000e+00	   1.3500000e+00	
   2.6380000e+03	   1.3720000e+00	   1.3500000e+00	
   2.6950000e+03	   1.4040000e+00	   1.3300000e+00	
   2.7550000e+03	   1.4410000e+00	   1.3100000e+00	
   2.8180000e+03	   1.4760000e+00	   1.2600000e+00	
   2.8830000e+03	   1.5020000e+00	   1.1900000e+00	
   2.9520000e+03	   1.5190000e+00	   1.0800000e+00	
   2.9880000e+03	   1.5220000e+00	   9.9200000e-01	
   3.0240000e+03	   1.4960000e+00	   8.8200000e-01	
   3.0610000e+03	   1.4320000e+00	   7.6600000e-01	
   3.1000000e+03	   1.3230000e+00	   6.4700000e-01	
   3.1150000e+03	   1.2460000e+00	   5.8600000e-01	
   3.1390000e+03	   1.1490000e+00	   5.4000000e-01	
   3.1550000e+03	   1.0440000e+00	   5.1400000e-01	
   3.1790000e+03	   9.3200000e-01	   5.0400000e-01	
   3.1950000e+03	   8.1500000e-01	   5.2600000e-01	
   3.2200000e+03	   7.0800000e-01	   5.6500000e-01	
   3.2370000e+03	   6.1600000e-01	   6.0900000e-01	
   3.2630000e+03	   5.2600000e-01	   6.6300000e-01	
   3.3060000e+03	   3.7100000e-01	   8.1300000e-01	
   3.3240000e+03	   3.2100000e-01	   9.0200000e-01	
   3.3510000e+03	   2.9400000e-01	   9.8600000e-01	
   3.3970000e+03	   2.5900000e-01	   1.1200000e+00	
   3.4440000e+03	   2.3800000e-01	   1.2400000e+00	
   3.5420000e+03	   2.0900000e-01	   1.4400000e+00	
   3.6470000e+03	   1.8600000e-01	   1.6100000e+00	
   3.7570000e+03	   2.0000000e-01	   1.6700000e+00	
   3.8750000e+03	   1.9200000e-01	   1.8100000e+00	
