0	0	0.472357	0.417012	0.518863	0.612258	0.540194	0.653767	0.550379	0.575169	0.595923	0.630899	0.63724	0.569019	0.428926	0.698543	0.666258	0.783483	0.405097	0.558834	0.818458	0.731212	0.672215	0.796358	0.766187	0.754273	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	   
0.025	0	0.472357	0.416627	0.519439	0.024021	0.612066	0.550379	0.540962	0.653575	0.575553	0.595923	0.569019	0.630899	0.637048	0.428734	0.698543	0.782714	0.666258	0.404905	0.558834	0.816728	0.672215	0.731212	0.796358	0.766379	0.754273	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	   
0.05	0	0.045929	0.472549	0.415667	0.520977	0.611874	0.550571	0.653575	0.575745	0.595923	0.617447	0.42835	0.630899	0.636856	0.542692	0.698735	0.780408	0.404713	0.666258	0.567674	0.558834	0.731212	0.672215	0.812693	0.796166	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	   
0.075	0	0.063801	0.473126	0.417781	0.411823	0.611489	0.550571	0.523475	0.575938	0.653383	0.427773	0.636664	0.595923	0.618023	0.630899	0.404136	0.558642	0.699119	0.666258	0.776949	0.542115	0.73102	0.672215	0.807888	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	   
0.1	0	0.078598	0.473702	0.418165	0.550763	0.52655	0.611297	0.407595	0.426813	0.57613	0.636279	0.65319	0.463133	0.595731	0.558066	0.631091	0.666066	0.699119	0.618407	0.73102	0.772913	0.589774	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	   
0.125	0	0.091858	0.474279	0.418741	0.550763	0.530009	0.426044	0.402407	0.635895	0.611297	0.576514	0.652998	0.559026	0.462364	0.595539	0.665874	0.698543	0.730828	0.125104	0.767532	0.794052	0.589966	0.618407	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	   
0.15	0	0.103965	0.419126	0.474855	0.149509	0.550955	0.425083	0.635318	0.610913	0.533276	0.400869	0.39741	0.652806	0.576898	0.461403	0.557681	0.665682	0.595155	0.697005	0.730635	0.789632	0.56556	0.764073	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	   
0.175	0	0.115495	0.171417	0.41951	0.551147	0.475432	0.610528	0.634934	0.399909	0.575553	0.390684	0.652614	0.46025	0.696237	0.570365	0.665489	0.730443	0.535966	0.594578	0.589966	0.783483	0.506948	0.792515	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	   
0.2	0	0.126641	0.190442	0.420087	0.551532	0.201588	0.63455	0.610528	0.398371	0.475816	0.576514	0.384151	0.652422	0.538272	0.695276	0.459097	0.665297	0.730059	0.529816	0.767725	0.75139	0.593809	0.506372	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	   
0.225	0	0.207929	0.137595	0.22484	0.423161	0.417781	0.552108	0.377425	0.229453	0.634165	0.39645	0.610721	0.540002	0.528471	0.652614	0.692778	0.576514	0.475816	0.657803	0.457752	0.664913	0.505987	0.72929	0.765418	0.645504	0.592849	0.586315	0.745817	0.699504	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	   
