0.000176551+0.00269893i	0.000315498+0.00268774i	0.000453689+0.00266937i	0.000590742+0.00264388i	0.000726281+0.00261133i	0.000859939+0.00257181i	0.000991342+0.00252543i	0.00112014+0.00247232i	0.00124597+0.00241262i	0.00136849+0.0023465i	0.00148737+0.00227413i	0.00160227+0.00219572i	0.00171289+0.00211148i	0.00181892+0.00202164i	0.00192006+0.00192644i	0.00201605+0.00182616i	0.00210662+0.00172105i	0.00219152+0.00161142i	0.00227052+0.00149756i	0.0023434+0.00137978i	0.00240996+0.00125841i	0.00247002+0.00113377i	0.00252341+0.00100622i	0.00256999+0.000876094i	0.00260963+0.000743755i	0.00264222+0.000609565i	0.00266767+0.000473893i	0.00268591+0.000337109i	0.00269689+0.000199587i	0.00270059+6.17073e-05i	0.00269698-7.61568e-05i	0.00268609-0.000213623i	0.00266793-0.000350317i	0.00264257-0.000485866i	0.00261007-0.000619894i	0.00257051-0.000752037i	0.00252401-0.00088193i	0.00247069-0.00100922i	0.00241071-0.00113356i	0.00234422-0.0012546i	0.0022714-0.00137202i	0.00219247-0.00148549i	0.00210762-0.00159471i	0.0020171-0.00169936i	0.00192115-0.00179917i	0.00182004-0.00189387i	0.00171404-0.00198318i	0.00160345-0.00206688i	0.00148856-0.00214472i	0.00136969-0.0022165i	0.00124717-0.00228202i	0.00112133-0.00234109i	0.000992518-0.00239357i	0.000861088-0.0024393i	0.000727399-0.00247815i	0.000591817-0.00251003i	0.000454716-0.00253484i	0.000316466-0.00255252i	0.000177453-0.00256302i	3.80526e-05-0.00256631i	-0.00010135-0.00256238i	-0.000240376-0.00255124i	-0.00037864-0.00253292i	-0.000515766-0.00250747i	-0.000651378-0.00247497i	-0.000785103-0.0024355i	-0.000916576-0.00238917i	-0.00104543-0.00233611i	-0.00117133-0.00227646i	-0.00129391-0.00221038i	-0.00141284-0.00213807i	-0.0015278-0.00205971i	-0.00163848-0.00197552i	-0.00174456-0.00188573i	-0.00184575-0.00179059i	-0.00194179-0.00169036i	-0.0020324-0.00158532i	-0.00211734-0.00147575i	-0.00219638-0.00136195i	-0.0022693-0.00124423i	-0.00233589-0.00112292i	-0.00239598-0.000998358i	-0.0024494-0.000870873i	-0.002496-0.000740822i	-0.00253566-0.000608559i	-0.00256827-0.000474447i	-0.00259374-0.000338856i	-0.00261199-0.000202156i	-0.00262299-6.47236e-05i	-0.00262669+7.30665e-05i	-0.00262308+0.000210834i	-0.00261219+0.0003482i	-0.00259403+0.00048479i	-0.00256865+0.000620228i	-0.00253613+0.000754141i	-0.00249655+0.000886164i	-0.00245003+0.00101593i	-0.00239668+0.00114309i	-0.00233665+0.00126729i	-0.00227012+0.00138819i	-0.00219725+0.00150545i	-0.00211825+0.00161876i	-0.00203333+0.0017278i	-0.00194273+0.00183227i	-0.00184669+0.00193189i	-0.00174548+0.00202639i	-0.00163936+0.00211549i	-0.00152864+0.00219896i	-0.00141361+0.00227656i	-0.00129459+0.00234808i	-0.00117189+0.00241333i	-0.00104586+0.00247211i	-0.000916845+0.00252428i	-0.000785185+0.00256968i	-0.000651245+0.00260819i	-0.000515388+0.0026397i	-0.000377983+0.00266411i	-0.000239407+0.00268137i	-0.000100032+0.00269142i	3.97575e-05+0.00269422i	0.000179587+0.00268977i	0.000319073+0.00267808i	0.000457839+0.00265918i	0.000595508+0.0026331i	0.000731707+0.00259993i	0.000866067+0.00255974i	0.000998225+0.00251264i	0.00112782+0.00245875i	0.00125451+0.00239822i	0.00137795+0.0023312i	0.0014978+0.00225788i	0.00161375+0.00217845i	0.00172548+0.00209311i	0.00183269+0.0020021i	0.00193509+0.00190565i	0.00203241+0.00180403i	0.00212439+0.0016975i	0.00221079+0.00158634i	0.00229137+0.00147086i	0.00236591+0.00135135i	0.00243424+0.00122815i	0.00249615+0.00110156i	0.00255149+0.000971942i	0.00260011+0.000839627i	0.00264189+0.000704971i	0.00267672+0.000568332i	0.0027045+0.000430073i	0.00272517+0.000290563i	0.00273868+0.000150173i	0.00274499+9.27663e-06i	0.00274409-0.000131749i	0.00273598-0.000272531i	0.00272069-0.000412693i	0.00269826-0.00055186i	0.00266877-0.000689663i	0.00263228-0.000825733i	0.00258889-0.000959706i	0.00253873-0.00109123i	0.00248194-0.00121994i	0.00241866-0.0013455i	0.00234906-0.00146758i	0.00227333-0.00158584i	0.00219168-0.00169998i	0.00210432-0.00180967i	0.00201148-0.00191463i	0.00191342-0.00201458i	0.00181038-0.00210925i	0.00170266-0.00219837i	0.00159052-0.00228172i	0.00147428-0.00235905i	0.00135423-0.00243017i	0.0012307-0.00249488i	0.00110402-0.00255301i	0.000974508-0.00260439i	0.000842525-0.00264889i	0.000708415-0.00268638i	0.000572534-0.00271676i	0.000435242-0.00273994i	0.000296905-0.00275587i	0.000157887-0.00276449i	1.85608e-05-0.00276577i	-0.000120706-0.00275973i	-0.000259542-0.00274636i	-0.000397579-0.0027257i	-0.000534448-0.00269781i	-0.000669786-0.00266275i	-0.000803231-0.00262064i	-0.00093443-0.00257156i	-0.00106303-0.00251566i	-0.00118869-0.0024531i	-0.00131108-0.00238402i	-0.00142986-0.00230863i	-0.00154472-0.00222713i	-0.00165536-0.00213973i	-0.00176147-0.00204668i	-0.00186278-0.00194822i	-0.00195901-0.00184463i	-0.0020499-0.00173618i	-0.00213522-0.00162317i	-0.00221474-0.00150591i	-0.00228823-0.00138472i	-0.00235551-0.00125992i	-0.0024164-0.00113186i	-0.00247073-0.00100089i	-0.00251836-0.000867365i	-0.00255916-0.000731643i	-0.00259302-0.0005941i	-0.00261986-0.000455114i	-0.00263961-0.000315059i	-0.00265221-0.000174322i	-0.00265763-3.32852e-05i	-0.00265586+0.000107664i	-0.0026469+0.000248142i	-0.00263079+0.000387764i	-0.00260757+0.000526148i	-0.00257731+0.000662917i	-0.00254008+0.000797693i	-0.002496+0.000930111i	-0.00244518+0.00105981i	-0.00238777+0.00118643i	-0.00232393+0.00130962i	-0.00225383+0.00142906i	-0.00217766+0.00154441i	-0.00209564+0.00165535i	-0.00200799+0.00176159i	-0.00191495+0.00186284i	-0.00181678+0.0019588i	-0.00171374+0.00204923i	-0.00160613+0.00213387i	-0.00149423+0.0022125i	-0.00137836+0.00228489i	-0.00125883+0.00235086i	-0.00113597+0.00241021i	-0.00101012+0.00246279i	-0.00088162+0.00250845i	-0.000750828+0.00254707i	-0.000618098+0.00257854i	-0.000483798+0.00260277i	-0.000348296+0.0026197i	-0.000211963+0.00262929i	-7.5173e-05+0.0026315i	6.16987e-05+0.00262633i	0.000198276+0.00261379i	0.000334185+0.00259393i	0.000469051+0.00256679i	0.00060251+0.00253244i	0.000734189+0.00249099i	0.000863729+0.00244254i	0.000990776+0.00238723i	0.00111498+0.00232521i	0.001236+0.00225665i	0.00135351+0.00218174i	0.00146718+0.00210068i	0.0015767+0.0020137i	0.00168177+0.00192103i	0.00178211+0.00182292i	0.00187743+0.00171966i	0.00196747+0.00161151i	0.002052+0.00149878i	0.00213078+0.00138177i	0.00220358+0.00126081i	0.00227022+0.00113623i	0.0023305+0.00100837i	0.00238427+0.000877573i	0.00243138+0.000744204i	0.00247169+0.00060863i	0.00250509+0.00047122i	0.0025315+0.000332352i	0.00255085+0.000192405i	0.00256307+5.17655e-05i	0.00256813-8.9184e-05i	0.00256603-0.000230057i	0.00255676-0.000370466i	0.00254036-0.000510028i	0.00251686-0.000648357i	0.00248634-0.000785077i	0.00244887-0.000919814i	0.00240455-0.00105219i	0.00235352-0.00118186i	0.0022959-0.00130845i	0.00223186-0.00143163i	0.00216157-0.00155104i	0.00208522-0.00166638i	0.00200303-0.00177731i	0.00191522-0.00188354i	0.00182203-0.00198477i	0.00172371-0.00208073i	0.00162053-0.00217116i	0.00151278-0.0022558i	0.00140076-0.00233443i	0.00128476-0.00240682i	0.00116511-0.00247279i	0.00104213-0.00253215i	0.000916168-0.00258473i	0.000787562-0.0026304i	0.000656663-0.00266902i	0.000523834-0.0027005i	0.000389437-0.00272475i	0.000253838-0.00274169i	0.000117414-0.00275129i	-1.94658e-05-0.00275351i	-0.000156424-0.00274836i	-0.000293087-0.00273584i	-0.000429078-0.00271599i	-0.000564026-0.00268887i	-0.000697562-0.00265455i	-0.000829317-0.00261311i	-0.000958932-0.00256469i	-0.00108605-0.0025094i	-0.00121033-0.00244741i	-0.00133142-0.00237887i	-0.001449-0.00230399i	-0.00156273-0.00222296i	-0.00167232-0.00213601i	-0.00177746-0.00204337i	-0.00187786-0.0019453i	-0.00197324-0.00184207i	-0.00206335-0.00173396i	-0.00214794-0.00162126i	-0.00222677-0.0015043i	-0.00229964-0.00138338i
0.000176498+0.00269883i	0.000315445+0.00268765i	0.000453635+0.00266928i	0.000590687+0.00264379i	0.000726229+0.00261124i	0.000859884+0.00257172i	0.00099129+0.00252534i	0.00112008+0.00247223i	0.00124591+0.00241253i	0.00136844+0.0023464i	0.00148731+0.00227404i	0.00160222+0.00219562i	0.00171283+0.00211138i	0.00181886+0.00202154i	0.00192001+0.00192635i	0.002016+0.00182606i	0.00210657+0.00172096i	0.00219147+0.00161133i	0.00227047+0.00149746i	0.00234335+0.00137969i	0.00240991+0.00125831i	0.00246996+0.00113368i	0.00252336+0.00100612i	0.00256994+0.000876i	0.00260957+0.000743661i	0.00264216+0.000609472i	0.00266761+0.0004738i	0.00268586+0.000337015i	0.00269684+0.000199494i	0.00270053+6.16127e-05i	0.00269693-7.62502e-05i	0.00268604-0.000213717i	0.00266788-0.000350412i	0.00264252-0.000485958i	0.00261001-0.000619988i	0.00257046-0.00075213i	0.00252396-0.000882024i	0.00247064-0.00100932i	0.00241066-0.00113365i	0.00234417-0.0012547i	0.00227135-0.00137211i	0.00219242-0.00148559i	0.00210757-0.0015948i	0.00201705-0.00169945i	0.0019211-0.00179927i	0.00181999-0.00189396i	0.00171399-0.00198328i	0.00160339-0.00206697i	0.00148851-0.00214481i	0.00136964-0.00221659i	0.00124712-0.00228211i	0.00112128-0.00234119i	0.000992467-0.00239366i	0.000861037-0.00243939i	0.000727349-0.00247824i	0.000591767-0.00251012i	0.000454663-0.00253493i	0.000316417-0.00255261i	0.000177402-0.00256311i	3.80026e-05-0.0025664i	-0.000101402-0.00256247i	-0.000240425-0.00255133i	-0.000378691-0.00253301i	-0.000515816-0.00250757i	-0.000651428-0.00247506i	-0.000785153-0.00243559i	-0.000916625-0.00238926i	-0.00104549-0.0023362i	-0.00117138-0.00227655i	-0.00129396-0.00221048i	-0.00141289-0.00213816i	-0.00152785-0.0020598i	-0.00163853-0.00197561i	-0.00174461-0.00188582i	-0.0018458-0.00179068i	-0.00194184-0.00169046i	-0.00203245-0.00158541i	-0.00211739-0.00147584i	-0.00219643-0.00136204i	-0.00226935-0.00124432i	-0.00233594-0.00112301i	-0.00239603-0.000998448i	-0.00244945-0.000870964i	-0.00249605-0.000740912i	-0.00253572-0.000608648i	-0.00256832-0.000474537i	-0.00259379-0.000338945i	-0.00261205-0.000202246i	-0.00262304-6.48118e-05i	-0.00262674+7.29768e-05i	-0.00262314+0.000210745i	-0.00261224+0.000348112i	-0.00259408+0.000484702i	-0.0025687+0.00062014i	-0.00253618+0.000754054i	-0.00249661+0.000886076i	-0.00245008+0.00101585i	-0.00239673+0.001143i	-0.00233671+0.0012672i	-0.00227017+0.0013881i	-0.0021973+0.00150536i	-0.0021183+0.00161867i	-0.00203339+0.00172772i	-0.00194278+0.00183219i	-0.00184675+0.00193181i	-0.00174553+0.0020263i	-0.00163942+0.00211541i	-0.0015287+0.00219887i	-0.00141367+0.00227648i	-0.00129465+0.002348i	-0.00117195+0.00241325i	-0.00104593+0.00247204i	-0.000916907+0.0025242i	-0.00078525+0.00256961i	-0.00065131+0.00260812i	-0.000515454+0.00263962i	-0.000378052+0.00266404i	-0.000239476+0.0026813i	-0.000100105+0.00269135i	3.96855e-05+0.00269415i	0.000179511+0.00268971i	0.000318997+0.00267802i	0.00045776+0.00265912i	0.000595427+0.00263305i	0.000731624+0.00259987i	0.000865982+0.00255968i	0.000998137+0.00251259i	0.00112773+0.0024587i	0.00125442+0.00239817i	0.00137785+0.00233116i	0.00149771+0.00225784i	0.00161365+0.00217841i	0.00172537+0.00209308i	0.00183258+0.00200207i	0.00193498+0.00190563i	0.0020323+0.00180401i	0.00212427+0.00169748i	0.00221067+0.00158633i	0.00229124+0.00147085i	0.00236579+0.00135135i	0.0024341+0.00122815i	0.00249601+0.00110157i	0.00255135+0.000971958i	0.00259997+0.000839647i	0.00264175+0.000704996i	0.00267657+0.000568363i	0.00270435+0.00043011i	0.00272502+0.000290605i	0.00273853+0.00015022i	0.00274483+9.32931e-06i	0.00274393-0.000131692i	0.00273582-0.000272468i	0.00272053-0.000412625i	0.0026981-0.000551786i	0.0026686-0.000689585i	0.00263211-0.000825649i	0.00258873-0.000959618i	0.00253857-0.00109113i	0.00248178-0.00121984i	0.0024185-0.0013454i	0.0023489-0.00146748i	0.00227318-0.00158574i	0.00219153-0.00169987i	0.00210417-0.00180956i	0.00201134-0.00191452i	0.00191328-0.00201446i	0.00181025-0.00210913i	0.00170253-0.00219825i	0.0015904-0.00228159i	0.00147416-0.00235893i	0.00135412-0.00243005i	0.00123059-0.00249476i	0.00110391-0.00255288i	0.000974411-0.00260427i	0.000842433-0.00264876i	0.000708329-0.00268625i	0.000572454-0.00271663i	0.00043517-0.00273982i	0.000296837-0.00275574i	0.000157826-0.00276436i	1.85053e-05-0.00276565i	-0.000120755-0.00275961i	-0.000259586-0.00274624i	-0.000397616-0.00272558i	-0.000534481-0.00269769i	-0.000669813-0.00266264i	-0.000803254-0.00262052i	-0.000934448-0.00257145i	-0.00106304-0.00251555i	-0.0011887-0.00245299i	-0.00131108-0.00238391i	-0.00142986-0.00230853i	-0.00154472-0.00222702i	-0.00165535-0.00213963i	-0.00176146-0.00204658i	-0.00186276-0.00194812i	-0.00195899-0.00184453i	-0.00204988-0.00173608i	-0.0021352-0.00162307i	-0.00221471-0.00150582i	-0.0022882-0.00138462i	-0.00235548-0.00125983i	-0.00241636-0.00113177i	-0.00247069-0.0010008i	-0.00251832-0.000867271i	-0.00255912-0.000731551i	-0.00259298-0.00059401i	-0.00261982-0.000455023i	-0.00263957-0.00031497i	-0.00265216-0.000174232i	-0.00265758-3.31968e-05i	-0.00265581+0.000107753i	-0.00264685+0.000248231i	-0.00263074+0.000387851i	-0.00260752+0.000526236i	-0.00257725+0.000663003i	-0.00254003+0.00079778i	-0.00249594+0.000930197i	-0.00244513+0.00105989i	-0.00238772+0.00118651i	-0.00232387+0.00130971i	-0.00225377+0.00142915i	-0.0021776+0.00154449i	-0.00209558+0.00165544i	-0.00200793+0.00176168i	-0.00191489+0.00186292i	-0.00181672+0.00195889i	-0.00171368+0.00204932i	-0.00160607+0.00213396i	-0.00149417+0.00221258i	-0.0013783+0.00228498i	-0.00125877+0.00235094i	-0.00113591+0.00241029i	-0.00101006+0.00246287i	-0.000881559+0.00250853i	-0.000750766+0.00254715i	-0.000618037+0.00257862i	-0.000483737+0.00260285i	-0.000348235+0.00261979i	-0.000211901+0.00262937i	-7.51112e-05+0.00263158i	6.17609e-05+0.00262641i	0.000198339+0.00261388i	0.000334247+0.00259401i	0.000469116+0.00256687i	0.000602571+0.00253253i	0.000734251+0.00249107i	0.000863792+0.00244262i	0.000990838+0.00238732i	0.00111504+0.0023253i	0.00123607+0.00225674i	0.00135357+0.00218182i	0.00146724+0.00210076i	0.00157676+0.00201378i	0.00168184+0.00192111i	0.00178217+0.00182301i	0.00187749+0.00171974i	0.00196754+0.00161159i	0.00205207+0.00149886i	0.00213084+0.00138186i	0.00220364+0.0012609i	0.00227028+0.00113631i	0.00233057+0.00100845i	0.00238433+0.000877655i	0.00243144+0.000744288i	0.00247175+0.000608713i	0.00250516+0.000471304i	0.00253157+0.000332436i	0.00255091+0.000192489i	0.00256313+5.1848e-05i	0.0025682-8.91015e-05i	0.0025661-0.000229974i	0.00255683-0.000370383i	0.00254042-0.000509944i	0.00251693-0.000648274i	0.0024864-0.000784994i	0.00244893-0.000919729i	0.00240462-0.00105211i	0.00235358-0.00118178i	0.00229596-0.00130837i	0.00223192-0.00143154i	0.00216163-0.00155096i	0.00208529-0.00166629i	0.0020031-0.00177722i	0.00191528-0.00188345i	0.00182209-0.00198469i	0.00172377-0.00208065i	0.0016206-0.00217107i	0.00151285-0.00225572i	0.00140082-0.00233434i	0.00128482-0.00240674i	0.00116517-0.00247271i	0.0010422-0.00253206i	0.000916235-0.00258465i	0.000787627-0.00263031i	0.00065673-0.00266894i	0.000523899-0.00270042i	0.000389502-0.00272466i	0.000253906-0.00274161i	0.000117479-0.0027512i	-1.93999e-05-0.00275343i	-0.000156358-0.00274828i	-0.000293021-0.00273576i	-0.000429012-0.00271591i	-0.00056396-0.00268879i	-0.000697495-0.00265446i	-0.00082925-0.00261303i	-0.000958866-0.0025646i	-0.00108599-0.00250932i	-0.00121026-0.00244732i	-0.00133135-0.00237879i	-0.00144893-0.0023039i	-0.00156267-0.00222287i	-0.00167225-0.00213592i	-0.00177739-0.00204328i	-0.00187779-0.00194521i	-0.00197317-0.00184198i	-0.00206328-0.00173387i	-0.00214787-0.00162118i	-0.00222671-0.00150421i	-0.00229957-0.00138329i
0.000176338+0.00269855i	0.000315285+0.00268736i	0.000453475+0.002669i	0.000590528+0.0026435i	0.000726068+0.00261095i	0.000859726+0.00257143i	0.00099113+0.00252506i	0.00111993+0.00247194i	0.00124576+0.00241224i	0.00136828+0.00234612i	0.00148715+0.00227375i	0.00160206+0.00219534i	0.00171268+0.0021111i	0.0018187+0.00202126i	0.00191985+0.00192606i	0.00201584+0.00182578i	0.00210641+0.00172068i	0.00219131+0.00161104i	0.00227031+0.00149718i	0.00234319+0.0013794i	0.00240975+0.00125803i	0.00246981+0.0011334i	0.0025232+0.00100584i	0.00256978+0.000875718i	0.00260942+0.00074338i	0.00264201+0.000609191i	0.00266746+0.000473518i	0.0026857+0.000336734i	0.00269668+0.000199213i	0.00270038+6.13325e-05i	0.00269677-7.65306e-05i	0.00268588-0.000213997i	0.00266773-0.000350691i	0.00264236-0.000486239i	0.00260986-0.000620267i	0.0025703-0.00075241i	0.0025238-0.000882304i	0.00247049-0.00100959i	0.0024105-0.00113393i	0.00234401-0.00125498i	0.0022712-0.00137239i	0.00219226-0.00148586i	0.00210742-0.00159508i	0.0020169-0.00169973i	0.00192095-0.00179954i	0.00181984-0.00189424i	0.00171384-0.00198355i	0.00160324-0.00206725i	0.00148835-0.00214509i	0.00136948-0.00221687i	0.00124696-0.00228239i	0.00112113-0.00234146i	0.000992315-0.00239394i	0.000860886-0.00243966i	0.000727197-0.00247852i	0.000591615-0.0025104i	0.000454513-0.00253521i	0.000316264-0.00255289i	0.000177251-0.00256339i	3.78509e-05-0.00256667i	-0.000101552-0.00256274i	-0.000240577-0.0025516i	-0.000378841-0.00253329i	-0.000515967-0.00250784i	-0.000651579-0.00247534i	-0.000785303-0.00243587i	-0.000916777-0.00238954i	-0.00104564-0.00233647i	-0.00117153-0.00227682i	-0.00129411-0.00221075i	-0.00141304-0.00213843i	-0.001528-0.00206007i	-0.00163868-0.00197588i	-0.00174476-0.0018861i	-0.00184595-0.00179096i	-0.00194199-0.00169073i	-0.0020326-0.00158568i	-0.00211754-0.00147611i	-0.00219658-0.00136231i	-0.0022695-0.00124459i	-0.00233609-0.00112329i	-0.00239618-0.000998719i	-0.0024496-0.000871234i	-0.0024962-0.000741181i	-0.00253587-0.000608918i	-0.00256848-0.000474805i	-0.00259394-0.000339214i	-0.0026122-0.000202513i	-0.00262319-6.50796e-05i	-0.00262689+7.27109e-05i	-0.00262329+0.000210478i	-0.00261239+0.000347846i	-0.00259423+0.000484438i	-0.00256886+0.000619876i	-0.00253634+0.000753791i	-0.00249676+0.000885814i	-0.00245024+0.00101558i	-0.00239689+0.00114274i	-0.00233687+0.00126694i	-0.00227033+0.00138784i	-0.00219746+0.00150511i	-0.00211846+0.00161842i	-0.00203355+0.00172746i	-0.00194295+0.00183194i	-0.00184691+0.00193156i	-0.0017457+0.00202605i	-0.00163959+0.00211516i	-0.00152887+0.00219863i	-0.00141385+0.00227624i	-0.00129483+0.00234776i	-0.00117214+0.00241301i	-0.00104611+0.0024718i	-0.000917097+0.00252398i	-0.000785442+0.00256938i	-0.000651506+0.00260789i	-0.000515655+0.00263941i	-0.000378256+0.00266383i	-0.000239685+0.00268109i	-0.000100317+0.00269114i	3.94657e-05+0.00269395i	0.000179288+0.00268952i	0.000318766+0.00267783i	0.000457524+0.00265894i	0.000595184+0.00263287i	0.000731374+0.0025997i	0.000865725+0.00255952i	0.000997873+0.00251243i	0.00112746+0.00245856i	0.00125414+0.00239804i	0.00137757+0.00233104i	0.00149741+0.00225773i	0.00161334+0.00217831i	0.00172506+0.00209299i	0.00183225+0.00200199i	0.00193464+0.00190556i	0.00203195+0.00180395i	0.00212392+0.00169744i	0.0022103+0.0015863i	0.00229087+0.00147084i	0.0023654+0.00135135i	0.00243371+0.00122816i	0.00249561+0.0011016i	0.00255093+0.000972i	0.00259955+0.000839707i	0.00264131+0.000705072i	0.00267613+0.000568455i	0.0027039+0.000430217i	0.00272456+0.000290729i	0.00273806+0.000150362i	0.00274436+9.48737e-06i	0.00274345-0.000131517i	0.00273534-0.000272277i	0.00272005-0.000412418i	0.00269762-0.000551565i	0.00266812-0.000689347i	0.00263163-0.000825398i	0.00258825-0.000959353i	0.00253809-0.00109085i	0.0024813-0.00121955i	0.00241803-0.0013451i	0.00234844-0.00146716i	0.00227272-0.00158541i	0.00219108-0.00169953i	0.00210373-0.00180921i	0.00201091-0.00191417i	0.00191286-0.00201411i	0.00180985-0.00210876i	0.00170214-0.00219788i	0.00159002-0.00228122i	0.0014738-0.00235855i	0.00135377-0.00242967i	0.00123027-0.00249438i	0.0011036-0.0025525i	0.000974119-0.00260388i	0.000842159-0.00264838i	0.000708074-0.00268587i	0.000572216-0.00271625i	0.000434948-0.00273944i	0.000296635-0.00275537i	0.000157641-0.00276399i	1.83385e-05-0.00276528i	-0.000120906-0.00275924i	-0.000259718-0.00274588i	-0.000397733-0.00272522i	-0.00053458-0.00269734i	-0.000669898-0.00266229i	-0.000803323-0.00262018i	-0.000934502-0.00257111i	-0.00106308-0.00251522i	-0.00118873-0.00245265i	-0.00131109-0.00238359i	-0.00142986-0.0023082i	-0.00154471-0.0022267i	-0.00165533-0.00213931i	-0.00176143-0.00204626i	-0.00186272-0.00194781i	-0.00195894-0.00184422i	-0.00204982-0.00173578i	-0.00213513-0.00162278i	-0.00221463-0.00150552i	-0.00228811-0.00138433i	-0.00235538-0.00125954i	-0.00241626-0.00113149i	-0.00247059-0.00100052i	-0.00251821-0.000866993i	-0.002559-0.000731275i	-0.00259286-0.000593736i	-0.00261969-0.000454751i	-0.00263943-0.0003147i	-0.00265203-0.000173965i	-0.00265744-3.29301e-05i	-0.00265566+0.000108017i	-0.00264671+0.000248493i	-0.00263059+0.000388114i	-0.00260737+0.000526496i	-0.0025771+0.000663262i	-0.00253987+0.000798038i	-0.00249578+0.000930455i	-0.00244496+0.00106015i	-0.00238755+0.00118677i	-0.0023237+0.00130996i	-0.0022536+0.0014294i	-0.00217743+0.00154475i	-0.00209541+0.00165569i	-0.00200775+0.00176193i	-0.00191471+0.00186317i	-0.00181654+0.00195914i	-0.0017135+0.00204957i	-0.00160589+0.00213421i	-0.00149399+0.00221284i	-0.00137812+0.00228523i	-0.00125859+0.00235119i	-0.00113573+0.00241054i	-0.00100988+0.00246312i	-0.000881376+0.00250878i	-0.000750582+0.0025474i	-0.000617852+0.00257887i	-0.000483553+0.0026031i	-0.000348049+0.00262003i	-0.000211715+0.00262962i	-7.4925e-05+0.00263183i	6.19477e-05+0.00262666i	0.000198525+0.00261413i	0.000334435+0.00259426i	0.000469303+0.00256712i	0.00060276+0.00253277i	0.00073444+0.00249132i	0.000863981+0.00244287i	0.000991028+0.00238756i	0.00111523+0.00232554i	0.00123625+0.00225698i	0.00135376+0.00218207i	0.00146743+0.00210101i	0.00157695+0.00201403i	0.00168202+0.00192136i	0.00178236+0.00182326i	0.00187768+0.00171999i	0.00196773+0.00161184i	0.00205226+0.00149911i	0.00213103+0.00138211i	0.00220384+0.00126115i	0.00227047+0.00113656i	0.00233076+0.0010087i	0.00238453+0.000877905i	0.00243163+0.000744537i	0.00247194+0.000608964i	0.00250535+0.000471554i	0.00253176+0.000332685i	0.0025511+0.000192739i	0.00256333+5.20985e-05i	0.00256839-8.88504e-05i	0.00256629-0.000229723i	0.00255702-0.000370133i	0.00254062-0.000509693i	0.00251712-0.000648023i	0.0024866-0.000784743i	0.00244913-0.000919479i	0.00240481-0.00105186i	0.00235378-0.00118152i	0.00229616-0.00130812i	0.00223212-0.00143129i	0.00216183-0.00155071i	0.00208548-0.00166604i	0.00200329-0.00177697i	0.00191548-0.0018832i	0.00182229-0.00198444i	0.00172397-0.0020804i	0.00162079-0.00217082i	0.00151304-0.00225546i	0.00140102-0.00233409i	0.00128502-0.00240649i	0.00116537-0.00247245i	0.0010424-0.00253181i	0.000916431-0.00258439i	0.000787825-0.00263006i	0.000656927-0.00266869i	0.000524097-0.00270016i	0.0003897-0.00272441i	0.000254102-0.00274135i	0.000117678-0.00275095i	-1.92013e-05-0.00275318i	-0.000156159-0.00274802i	-0.000292822-0.0027355i	-0.000428813-0.00271566i	-0.000563761-0.00268853i	-0.000697296-0.00265421i	-0.000829051-0.00261277i	-0.000958666-0.00256435i	-0.00108579-0.00250906i	-0.00121006-0.00244707i	-0.00133115-0.00237853i	-0.00144873-0.00230365i	-0.00156247-0.00222262i	-0.00167205-0.00213566i	-0.00177719-0.00204303i	-0.00187759-0.00194496i	-0.00197297-0.00184172i	-0.00206308-0.00173362i	-0.00214767-0.00162092i	-0.0022265-0.00150396i	-0.00229937-0.00138304i
