-0.723745-0.673196i	-0.776898-0.66834i	-0.829772-0.66075i	-0.8822-0.650443i	-0.934066-0.637446i	-0.985213-0.621792i	-1.03552-0.603522i	-1.08484-0.582685i	-1.13304-0.559334i	-1.18001-0.533533i	-1.22561-0.505349i	-1.26972-0.474857i	-1.31223-0.442141i	-1.35302-0.407285i	-1.39198-0.370386i	-1.42901-0.33154i	-1.46402-0.290854i	-1.4969-0.248436i	-1.52758-0.2044i	-1.55598-0.158865i	-1.58201-0.111956i	-1.60562-0.0637936i	-1.62674-0.0145156i	-1.64532+0.0357526i	-1.6613+0.0868678i	-1.67466+0.138701i	-1.68535+0.191101i	-1.69335+0.243937i	-1.69865+0.297058i	-1.70123+0.350326i	-1.70108+0.403594i	-1.69822+0.456719i	-1.69265+0.509557i	-1.6844+0.561967i	-1.67349+0.613803i	-1.65995+0.664931i	-1.64382+0.715206i	-1.62516+0.764501i	-1.60401+0.812672i	-1.58044+0.8596i	-1.55451+0.905148i	-1.52631+0.949205i	-1.49591+0.991638i	-1.46341+1.03235i	-1.42887+1.07121i	-1.39243+1.10813i	-1.35416+1.14301i	-1.31419+1.17575i	-1.27262+1.20626i	-1.22958+1.23447i	-1.18518+1.26029i	-1.13956+1.28367i	-1.09282+1.30452i	-1.04513+1.32282i	-0.996594+1.33849i	-0.947369+1.35151i	-0.897575+1.36184i	-0.847367+1.36945i	-0.796879+1.37432i	-0.746255+1.37644i	-0.695638+1.37582i	-0.645166+1.37244i	-0.594992+1.36633i	-0.54524+1.3575i	-0.49607+1.34598i	-0.447601+1.3318i	-0.399986+1.31501i	-0.353346+1.29564i	-0.307823+1.27376i	-0.263538+1.24943i	-0.220619+1.22272i	-0.179189+1.19369i	-0.13936+1.16244i	-0.10125+1.12905i	-0.0649645+1.09362i	-0.0306058+1.05624i	0.00172449+1.01701i	0.0319409+0.976057i	0.059948+0.933484i	0.085675+0.889408i	0.10904+0.843959i	0.12998+0.797256i	0.148431+0.749436i	0.164344+0.700627i	0.177662+0.650968i	0.18836+0.600593i	0.196387+0.549649i	0.201736+0.498268i	0.20437+0.446605i	0.204298+0.394789i	0.201495+0.342981i	0.19599+0.291309i	0.187766+0.23993i	0.176874+0.188974i	0.163308+0.138596i	0.14713+0.0889225i	0.12836+0.0401066i	0.10706-0.00773164i	0.0832754-0.0544434i	0.0570761-0.0999122i	0.0285219-0.144i	-0.00230467-0.186595i	-0.0353278-0.227566i	-0.0704556-0.266811i	-0.1076-0.304206i	-0.146658-0.339663i	-0.187531-0.373067i	-0.230105-0.404336i	-0.274268-0.433372i	-0.319905-0.460103i	-0.366889-0.484445i	-0.415101-0.506335i	-0.464404-0.525705i	-0.514675-0.542505i	-0.565766-0.556682i	-0.617559-0.568197i	-0.669893-0.577015i	-0.722648-0.583108i	-0.775664-0.58646i	-0.828814-0.587056i	-0.881943-0.584893i	-0.934915-0.579972i	-0.987586-0.572306i	-1.03981-0.561912i	-1.09145-0.548813i	-1.14237-0.533049i	-1.19243-0.514649i	-1.24149-0.49367i	-1.28942-0.470158i	-1.33609-0.444181i	-1.38137-0.415801i	-1.42516-0.385092i	-1.4673-0.352142i	-1.50773-0.317023i	-1.54628-0.279844i	-1.5829-0.240686i	-1.61744-0.199668i	-1.64986-0.156881i	-1.68002-0.112453i	-1.70788-0.0664906i	-1.73333-0.0191202i	-1.75632+0.0295365i	-1.77678+0.0793516i	-1.79466+0.130189i	-1.8099+0.181923i	-1.82247+0.234409i	-1.83232+0.287516i	-1.83943+0.341099i	-1.84378+0.395021i	-1.84536+0.449137i	-1.84415+0.503308i	-1.84016+0.557388i	-1.8334+0.611239i	-1.82387+0.664717i	-1.81162+0.717682i	-1.79667+0.769997i	-1.77905+0.821522i	-1.75881+0.872126i	-1.736+0.921672i	-1.71068+0.970035i	-1.68292+1.01709i	-1.65278+1.0627i	-1.62036+1.10677i	-1.58572+1.14916i	-1.54897+1.18978i	-1.51019+1.22851i	-1.4695+1.26526i	-1.42698+1.29993i	-1.38277+1.33243i	-1.33697+1.36267i	-1.28971+1.39059i	-1.24111+1.4161i	-1.19129+1.43914i	-1.14039+1.45965i	-1.08855+1.47758i	-1.0359+1.49288i	-0.982577+1.50552i	-0.928725+1.51547i	-0.874491+1.52269i	-0.820011+1.52718i	-0.765437+1.52892i	-0.710906+1.52791i	-0.656571+1.52416i	-0.602567+1.51767i	-0.549048+1.50847i	-0.496143+1.49659i	-0.444008+1.48205i	-0.392765+1.4649i	-0.342566+1.44519i	-0.293527+1.42296i	-0.245796+1.39829i	-0.199484+1.37124i	-0.154725+1.34189i	-0.11163+1.31031i	-0.070319+1.27658i	-0.030896+1.24082i	0.00653364+1.2031i	0.0418679+1.16354i	0.0750191+1.12223i	0.105896+1.07931i	0.13442+1.03486i	0.160518+0.989038i	0.184117+0.941943i	0.205164+0.893713i	0.223596+0.844477i	0.239375+0.794366i	0.252453+0.743522i	0.262805+0.692077i	0.270402+0.640171i	0.275228+0.587948i	0.277272+0.535545i	0.276534+0.48311i	0.273019+0.430775i	0.266737+0.378694i	0.257715+0.326996i	0.245976+0.275829i	0.231556+0.225327i	0.214501+0.175627i	0.194857+0.126864i	0.172686+0.0791701i	0.148047+0.0326708i	0.121015-0.0125036i	0.0916643-0.0562376i	0.0600819-0.0984067i	0.0263548-0.138906i	-0.00941969-0.177616i	-0.0471374-0.214445i	-0.0867014-0.249283i	-0.127984-0.282049i	-0.170888-0.31264i	-0.215272-0.340991i	-0.261031-0.367012i	-0.308018-0.390647i	-0.356118-0.411821i	-0.405181-0.430492i	-0.45508-0.446598i	-0.505669-0.460107i	-0.556806-0.470977i	-0.608352-0.479189i	-0.660157-0.484714i	-0.712081-0.487548i	-0.763973-0.487676i	-0.815692-0.485111i	-0.867091-0.479852i	-0.918026-0.471924i	-0.968356-0.461346i	-1.01793-0.448153i	-1.06663-0.432379i	-1.11429-0.414077i	-1.16081-0.393292i	-1.20603-0.370089i	-1.24983-0.34453i	-1.2921-0.316692i	-1.33271-0.286647i	-1.37154-0.254491i	-1.4085-0.220301i	-1.44346-0.184186i	-1.47634-0.146236i	-1.50703-0.106568i	-1.53547-0.0652844i	-1.56155-0.0225097i	-1.5852+0.0216469i	-1.60637+0.0670502i	-1.62498+0.113584i	-1.641+0.16111i	-1.65435+0.2095i	-1.66501+0.258618i	-1.67294+0.308324i	-1.67812+0.358484i	-1.68053+0.408954i	-1.68016+0.459597i	-1.67701+0.510266i	-1.67109+0.560825i	-1.6624+0.611128i	-1.65097+0.661039i	-1.63682+0.710417i	-1.62+0.759123i	-1.60054+0.807021i	-1.57849+0.853982i	-1.55392+0.899864i	-1.52687+0.944554i	-1.49744+0.987909i	-1.46569+1.02982i	-1.4317+1.07017i	-1.39557+1.10884i	-1.3574+1.14572i	-1.31728+1.18072i	-1.27532+1.21372i	-1.23162+1.24465i	-1.18633+1.2734i	-1.13953+1.2999i	-1.09138+1.32408i	-1.04198+1.34587i	-0.991488+1.36519i	-0.940022+1.38201i	-0.88772+1.39625i	-0.834732+1.40791i	-0.781187+1.41692i	-0.727242+1.42327i	-0.673033+1.42693i	-0.618705+1.4279i	-0.564409+1.42616i	-0.510285+1.42173i	-0.456483+1.4146i	-0.403141+1.4048i	-0.350409+1.39235i	-0.298424+1.37728i	-0.247326+1.35963i	-0.197251+1.33946i	-0.148334+1.31679i	-0.100704+1.29171i	-0.0544915+1.26426i	-0.00981519+1.23455i	0.0332002+1.20262i	0.0744478+1.16857i	0.113807+1.1325i	0.151186+1.0945i	0.186474+1.05466i	0.219587+1.0131i	0.250429+0.969922i	0.278928+0.925253i
-0.722822-0.673646i	-0.775985-0.668792i	-0.828843-0.661204i	-0.881282-0.650897i	-0.933137-0.6379i	-0.984289-0.622249i	-1.03459-0.603979i	-1.08391-0.583144i	-1.13211-0.559793i	-1.17908-0.533993i	-1.22467-0.50581i	-1.26878-0.47532i	-1.31129-0.442604i	-1.35208-0.407749i	-1.39103-0.370852i	-1.42807-0.332006i	-1.46307-0.291322i	-1.49596-0.248905i	-1.52663-0.20487i	-1.55503-0.159337i	-1.58106-0.112426i	-1.60467-0.0642682i	-1.62578-0.0149877i	-1.64436+0.0352762i	-1.66034+0.0863942i	-1.67369+0.138221i	-1.68438+0.190625i	-1.69238+0.243457i	-1.69768+0.296579i	-1.70025+0.349845i	-1.70011+0.403112i	-1.69725+0.456236i	-1.69168+0.509073i	-1.68342+0.56148i	-1.67251+0.613319i	-1.65897+0.664442i	-1.64284+0.714721i	-1.62417+0.764009i	-1.60302+0.812184i	-1.57945+0.859108i	-1.55352+0.904658i	-1.52532+0.94871i	-1.49492+0.991146i	-1.4624+1.03185i	-1.42788+1.07072i	-1.39142+1.10763i	-1.35316+1.14251i	-1.31318+1.17525i	-1.27162+1.20576i	-1.22857+1.23396i	-1.18418+1.25979i	-1.13854+1.28316i	-1.09182+1.30402i	-1.04411+1.32231i	-0.995583+1.33799i	-0.946345+1.351i	-0.896557+1.36133i	-0.846344+1.36894i	-0.795855+1.37381i	-0.745229+1.37593i	-0.694608+1.3753i	-0.644139+1.37193i	-0.593956+1.36582i	-0.544211+1.35699i	-0.495031+1.34547i	-0.446567+1.33129i	-0.398945+1.31449i	-0.352307+1.29512i	-0.30678+1.27324i	-0.262494+1.24891i	-0.219574+1.2222i	-0.178139+1.19317i	-0.138311+1.16192i	-0.100197+1.12853i	-0.0639099+1.09309i	-0.029551+1.05571i	0.00278407+1.01649i	0.0329983+0.975529i	0.0610112+0.932952i	0.086737+0.888879i	0.110105+0.843425i	0.131047+0.796724i	0.1495+0.748901i	0.165412+0.700093i	0.178736+0.65043i	0.18943+0.600059i	0.197465+0.549108i	0.202808+0.497733i	0.205452+0.446062i	0.205372+0.394254i	0.202581+0.342436i	0.197066+0.290769i	0.188858+0.239383i	0.177953+0.188432i	0.164403+0.138046i	0.148216+0.0883794i	0.129455+0.039554i	0.108152-0.00827665i	0.0843725-0.054997i	0.0581714-0.100462i	0.0296218-0.144556i	-0.00120499-0.187145i	-0.0342243-0.228124i	-0.0693535-0.267362i	-0.106494-0.304768i	-0.145554-0.340217i	-0.186421-0.373629i	-0.228996-0.404894i	-0.273157-0.433936i	-0.318791-0.460664i	-0.365776-0.48501i	-0.413983-0.506898i	-0.463288-0.526272i	-0.513551-0.543071i	-0.56465-0.55725i	-0.616431-0.568767i	-0.668773-0.577586i	-0.721518-0.583681i	-0.77454-0.587034i	-0.827684-0.587631i	-0.880814-0.58547i	-0.933785-0.58055i	-0.986452-0.572887i	-1.03868-0.562492i	-1.09032-0.549399i	-1.14123-0.533631i	-1.19129-0.515238i	-1.24035-0.494255i	-1.28828-0.470749i	-1.33495-0.444772i	-1.38024-0.416393i	-1.42401-0.38569i	-1.46617-0.352736i	-1.50658-0.317627i	-1.54515-0.280443i	-1.58175-0.241294i	-1.61631-0.200271i	-1.64871-0.157494i	-1.67888-0.113063i	-1.70673-0.0671063i	-1.73219-0.0197362i	-1.75518+0.0289173i	-1.77564+0.0787283i	-1.79352+0.129566i	-1.80876+0.181294i	-1.82133+0.23378i	-1.83118+0.286882i	-1.83829+0.340464i	-1.84264+0.394381i	-1.84422+0.448496i	-1.84301+0.502661i	-1.83902+0.556741i	-1.83226+0.610587i	-1.82274+0.664062i	-1.81049+0.717024i	-1.79554+0.769335i	-1.77792+0.820858i	-1.75768+0.871457i	-1.73487+0.921002i	-1.70956+0.96936i	-1.6818+1.01641i	-1.65167+1.06202i	-1.61924+1.10608i	-1.58461+1.14848i	-1.54785+1.18909i	-1.50908+1.22782i	-1.46839+1.26457i	-1.42588+1.29923i	-1.38167+1.33173i	-1.33587+1.36197i	-1.28861+1.38988i	-1.24001+1.41539i	-1.1902+1.43843i	-1.1393+1.45893i	-1.08746+1.47687i	-1.03481+1.49217i	-0.981494+1.50481i	-0.927647+1.51475i	-0.873412+1.52198i	-0.818939+1.52646i	-0.764362+1.5282i	-0.709838+1.52719i	-0.6555+1.52344i	-0.601504+1.51695i	-0.547981+1.50775i	-0.495086+1.49586i	-0.442945+1.48133i	-0.391712+1.46417i	-0.341507+1.44446i	-0.292479+1.42224i	-0.244743+1.39757i	-0.198439+1.37052i	-0.153679+1.34116i	-0.110589+1.30958i	-0.0692771+1.27586i	-0.0298562+1.24009i	0.00756917+1.20238i	0.0429046+1.16281i	0.0760516+1.12151i	0.106928+1.07858i	0.135451+1.03414i	0.161544+0.988312i	0.185145+0.941221i	0.206185+0.89299i	0.224621+0.843755i	0.240393+0.793647i	0.253474+0.742802i	0.263821+0.691357i	0.271417+0.639454i	0.276241+0.587229i	0.278283+0.534831i	0.277544+0.482392i	0.274026+0.430064i	0.267746+0.377978i	0.258719+0.326286i	0.246979+0.275117i	0.232559+0.224617i	0.2155+0.174918i	0.195857+0.126157i	0.173681+0.0784625i	0.149043+0.0319672i	0.122007-0.0132094i	0.0926567-0.056939i	0.0610717-0.0991107i	0.0273433-0.139605i	-0.00843145-0.178318i	-0.0461553-0.215143i	-0.0857138-0.249983i	-0.127007-0.282742i	-0.169904-0.313338i	-0.214298-0.341683i	-0.260052-0.367707i	-0.307047-0.391337i	-0.355143-0.412515i	-0.404211-0.43118i	-0.454109-0.447288i	-0.5047-0.460793i	-0.555841-0.471666i	-0.607386-0.479873i	-0.659195-0.4854i	-0.711118-0.488229i	-0.763015-0.48836i	-0.814733-0.48579i	-0.866136-0.480532i	-0.917071-0.472601i	-0.967401-0.462023i	-1.01698-0.448827i	-1.06568-0.433054i	-1.11335-0.414749i	-1.15986-0.393964i	-1.20508-0.370758i	-1.24889-0.345199i	-1.29116-0.317357i	-1.33177-0.287316i	-1.3706-0.255154i	-1.40756-0.220966i	-1.44252-0.184846i	-1.4754-0.146899i	-1.5061-0.107226i	-1.53453-0.065945i	-1.56062-0.0231649i	-1.58428+0.0209893i	-1.60545+0.0663978i	-1.62406+0.112929i	-1.64007+0.160459i	-1.65343+0.20885i	-1.66409+0.257967i	-1.67202+0.307678i	-1.6772+0.357837i	-1.67962+0.408309i	-1.67925+0.45895i	-1.6761+0.509623i	-1.67018+0.560181i	-1.66149+0.610488i	-1.65006+0.660399i	-1.63592+0.709778i	-1.6191+0.758485i	-1.59964+0.806387i	-1.57759+0.853345i	-1.55302+0.899234i	-1.52598+0.943918i	-1.49655+0.987281i	-1.46479+1.02919i	-1.43081+1.06954i	-1.39469+1.10821i	-1.35651+1.1451i	-1.31639+1.18009i	-1.27443+1.2131i	-1.23075+1.24402i	-1.18544+1.27278i	-1.13866+1.29928i	-1.0905+1.32346i	-1.04111+1.34524i	-0.990614+1.36458i	-0.939147+1.38139i	-0.886851+1.39565i	-0.833859+1.40729i	-0.780323+1.41631i	-0.726374+1.42266i	-0.672168+1.42633i	-0.617844+1.42729i	-0.563548+1.42556i	-0.509427+1.42112i	-0.455625+1.414i	-0.402288+1.4042i	-0.349555+1.39175i	-0.297572+1.37668i	-0.246474+1.35904i	-0.196401+1.33886i	-0.147485+1.3162i	-0.0998572+1.29111i	-0.0536449+1.26368i	-0.00897198+1.23395i	0.034044+1.20203i	0.0752859+1.16798i	0.114648+1.13191i	0.15202+1.09391i	0.187311+1.05407i	0.220417+1.01251i	0.251262+0.969342i	0.279754+0.924672i
-0.720077-0.674998i	-0.773223-0.670147i	-0.826088-0.66256i	-0.87851-0.652257i	-0.930369-0.639266i	-0.981509-0.623614i	-1.03181-0.605351i	-1.08112-0.584515i	-1.12932-0.561171i	-1.17628-0.535371i	-1.22187-0.507194i	-1.26597-0.476705i	-1.30847-0.443993i	-1.34925-0.409141i	-1.38821-0.372246i	-1.42523-0.333404i	-1.46023-0.292723i	-1.49311-0.250308i	-1.52379-0.206278i	-1.55217-0.160746i	-1.5782-0.113842i	-1.6018-0.065683i	-1.62291-0.0164094i	-1.64148+0.0338546i	-1.65746+0.0849662i	-1.6708+0.136794i	-1.68149+0.189191i	-1.68948+0.242023i	-1.69477+0.29514i	-1.69734+0.348404i	-1.69719+0.401667i	-1.69432+0.454789i	-1.68875+0.507622i	-1.68049+0.560028i	-1.66957+0.61186i	-1.65602+0.662985i	-1.63989+0.713255i	-1.62121+0.762546i	-1.60006+0.810714i	-1.57648+0.857637i	-1.55055+0.903182i	-1.52234+0.947232i	-1.49193+0.989664i	-1.45942+1.03037i	-1.42488+1.06923i	-1.38843+1.10615i	-1.35015+1.14102i	-1.31018+1.17375i	-1.2686+1.20426i	-1.22555+1.23247i	-1.18115+1.25828i	-1.13551+1.28166i	-1.08877+1.30251i	-1.04107+1.3208i	-0.992529+1.33647i	-0.943295+1.34948i	-0.893495+1.3598i	-0.84328+1.36741i	-0.792784+1.37228i	-0.742153+1.3744i	-0.691528+1.37377i	-0.641051+1.37039i	-0.590866+1.36428i	-0.541111+1.35544i	-0.49193+1.34392i	-0.443457+1.32974i	-0.395832+1.31294i	-0.349188+1.29357i	-0.303654+1.27168i	-0.259365+1.24735i	-0.216436+1.22063i	-0.175001+1.1916i	-0.135163+1.16035i	-0.0970479+1.12696i	-0.0607525+1.09152i	-0.0263896+1.05413i	0.00595081+1.0149i	0.036171+0.973942i	0.064189+0.931366i	0.0899191+0.887286i	0.113294+0.841833i	0.134239+0.795126i	0.1527+0.747302i	0.168616+0.698488i	0.181947+0.648825i	0.192646+0.598446i	0.200685+0.547499i	0.206036+0.496114i	0.208681+0.444446i	0.208612+0.392628i	0.20582+0.340816i	0.200318+0.289138i	0.192106+0.237756i	0.181216+0.186795i	0.16766+0.136413i	0.151488+0.0867369i	0.132725+0.0379151i	0.111432-0.00992571i	0.0876545-0.056643i	0.0614599-0.102116i	0.0329147-0.146208i	0.00209376-0.188807i	-0.0309218-0.229781i	-0.0660439-0.269031i	-0.103182-0.306431i	-0.142233-0.341893i	-0.183099-0.3753i	-0.225665-0.406575i	-0.269825-0.435616i	-0.315453-0.462351i	-0.362433-0.486698i	-0.410637-0.508592i	-0.459935-0.527968i	-0.510199-0.544772i	-0.561286-0.558954i	-0.613071-0.570474i	-0.665402-0.579297i	-0.718148-0.585397i	-0.771162-0.588753i	-0.824303-0.589356i	-0.87743-0.587197i	-0.930394-0.582285i	-0.983062-0.574622i	-1.03528-0.564237i	-1.08692-0.551144i	-1.13783-0.535385i	-1.18789-0.516993i	-1.23694-0.49602i	-1.28487-0.472516i	-1.33153-0.446546i	-1.37682-0.418174i	-1.4206-0.387474i	-1.46275-0.35453i	-1.50316-0.319422i	-1.54172-0.28225i	-1.57833-0.243102i	-1.61288-0.202092i	-1.64529-0.159316i	-1.67545-0.114898i	-1.70331-0.0689443i	-1.72876-0.0215845i	-1.75175+0.027062i	-1.77222+0.0768654i	-1.79009+0.127693i	-1.80534+0.179415i	-1.8179+0.23189i	-1.82776+0.284985i	-1.83487+0.338556i	-1.83923+0.392466i	-1.8408+0.44657i	-1.8396+0.500728i	-1.83561+0.554796i	-1.82886+0.608634i	-1.81934+0.662099i	-1.8071+0.715052i	-1.79215+0.767354i	-1.77454+0.818866i	-1.7543+0.869457i	-1.7315+0.918991i	-1.70619+0.967342i	-1.67844+1.01438i	-1.64831+1.05998i	-1.6159+1.10403i	-1.58127+1.14642i	-1.54452+1.18702i	-1.50575+1.22575i	-1.46507+1.26249i	-1.42257+1.29714i	-1.37837+1.32963i	-1.33258+1.35987i	-1.28532+1.38777i	-1.23673+1.41327i	-1.18692+1.4363i	-1.13604+1.45681i	-1.0842+1.47473i	-1.03156+1.49003i	-0.978249+1.50266i	-0.924409+1.5126i	-0.870183+1.51982i	-0.815714+1.5243i	-0.761149+1.52604i	-0.706628+1.52503i	-0.652302+1.52127i	-0.598307+1.51478i	-0.544797+1.50558i	-0.491902+1.49369i	-0.439776+1.47915i	-0.388542+1.462i	-0.338351+1.44228i	-0.289323+1.42006i	-0.241598+1.39539i	-0.195297+1.36834i	-0.150545+1.33898i	-0.10746+1.3074i	-0.0661548+1.27368i	-0.0267417+1.23792i	0.0106803+1.2002i	0.0460067+1.16064i	0.0791505+1.11933i	0.110019+1.07641i	0.138537+1.03197i	0.164626+0.986147i	0.188219+0.939053i	0.209257+0.890828i	0.227682+0.841592i	0.243454+0.791488i	0.256524+0.740643i	0.26687+0.689203i	0.274459+0.6373i	0.279278+0.585082i	0.281315+0.532682i	0.28057+0.480251i	0.277049+0.42792i	0.27076+0.375843i	0.261731+0.324148i	0.249984+0.272986i	0.235558+0.222487i	0.218496+0.172794i	0.198846+0.124033i	0.176668+0.0763442i	0.152021+0.02985i	0.124984-0.0153214i	0.0956256-0.0590497i	0.064037-0.101216i	0.0303042-0.141708i	-0.00547797-0.180417i	-0.0432031-0.217239i	-0.0827718-0.252074i	-0.124062-0.284832i	-0.166971-0.315422i	-0.211364-0.343765i	-0.257128-0.369784i	-0.304124-0.393412i	-0.352228-0.414585i	-0.401299-0.433247i	-0.451203-0.449351i	-0.501798-0.462854i	-0.552943-0.473722i	-0.604496-0.481926i	-0.656307-0.487449i	-0.708238-0.490274i	-0.760136-0.490401i	-0.811863-0.487828i	-0.863268-0.482566i	-0.914209-0.474631i	-0.964544-0.464049i	-1.01413-0.45085i	-1.06283-0.435074i	-1.1105-0.416764i	-1.15702-0.395976i	-1.20225-0.372766i	-1.24606-0.347204i	-1.28833-0.319359i	-1.32895-0.289312i	-1.36779-0.257147i	-1.40475-0.222955i	-1.43972-0.186832i	-1.4726-0.14888i	-1.50331-0.109205i	-1.53175-0.0679184i	-1.55783-0.0251361i	-1.5815+0.0190223i	-1.60267+0.0644336i	-1.62129+0.11097i	-1.63731+0.158503i	-1.65067+0.206896i	-1.66133+0.25602i	-1.66927+0.305731i	-1.67446+0.355897i	-1.67688+0.406371i	-1.67651+0.457019i	-1.67337+0.507693i	-1.66745+0.558257i	-1.65877+0.608566i	-1.64735+0.658482i	-1.63321+0.707865i	-1.61639+0.756577i	-1.59694+0.80448i	-1.5749+0.851444i	-1.55033+0.897334i	-1.52329+0.942026i	-1.49386+0.985389i	-1.46212+1.02731i	-1.42814+1.06766i	-1.39202+1.10633i	-1.35385+1.14322i	-1.31373+1.17822i	-1.27178+1.21123i	-1.2281+1.24216i	-1.18281+1.27092i	-1.13602+1.29743i	-1.08787+1.32161i	-1.03848+1.3434i	-0.987992+1.36273i	-0.936533+1.37955i	-0.884238+1.39381i	-0.831256+1.40547i	-0.77772+1.41448i	-0.72378+1.42084i	-0.669577+1.42451i	-0.615257+1.42548i	-0.560968+1.42375i	-0.50685+1.41932i	-0.453055+1.41219i	-0.39972+1.4024i	-0.346995+1.38995i	-0.295016+1.37489i	-0.243924+1.35725i	-0.193856+1.33707i	-0.144945+1.31441i	-0.0973224+1.28934i	-0.0511157+1.2619i	-0.00644685+1.23219i	0.0365624+1.20026i	0.0778024+1.16623i	0.117156+1.13015i	0.154527+1.09216i	0.189808+1.05232i	0.222914+1.01077i	0.25375+0.967599i	0.282241+0.922935i
